Name,Position,Age,Team From,League From,Team To,League To,Season,Transfer Fee
Sokratis,Centre-Back,30,Bor. Dortmund,1.Bundesliga,Arsenal,Premier League,2018-2019,16000000.0
Xherdan Shaqiri,Right Winger,26,Stoke City,Championship,Liverpool,Premier League,2018-2019,14700000.0
Diogo Jota,Left Winger,21,Atlético Madrid,LaLiga,Wolves,Premier League,2018-2019,14000000.0
Danny Ward,Goalkeeper,25,Liverpool,Premier League,Leicester City,Premier League,2018-2019,14000000.0
Gerard Deulofeu,Right Winger,24,FC Barcelona,LaLiga,Watford,Premier League,2018-2019,13000000.0
Willy Boly,Centre-Back,27,FC Porto,Liga NOS,Wolves,Premier League,2018-2019,12000000.0
Diego Rico,Left-Back,25,CD Leganés,LaLiga,Bournemouth,Premier League,2018-2019,12000000.0
Benik Afobe,Centre-Forward,25,Bournemouth,Premier League,Wolves,Premier League,2018-2019,11400000.0
Josh Murphy,Left Winger,23,Norwich,Championship,Cardiff,Premier League,2018-2019,11400000.0
Bobby Reid,Attacking Midfield,25,Bristol City,Championship,Cardiff,Premier League,2018-2019,11350000.0
David Brooks,Attacking Midfield,20,Sheffield Utd.,Championship,Bournemouth,Premier League,2018-2019,11300000.0
Angus Gunn,Goalkeeper,22,Man City,Premier League,Southampton,Premier League,2018-2019,11300000.0
Bernardo,Left-Back,23,RB Leipzig,1.Bundesliga,Brighton,Premier League,2018-2019,10000000.0
Adama Diakhaby,Centre-Forward,22,Monaco,Ligue 1,Huddersfield,Premier League,2018-2019,10000000.0
Keno,Left Winger,28,Palmeiras,Série A,Pyramids FC,Premier League,2018-2019,8600000.0
Lukasz Fabianski,Goalkeeper,33,Swansea,Championship,West Ham,Premier League,2018-2019,8000000.0
Mattéo Guendouzi,Central Midfield,19,FC Lorient,Ligue 2,Arsenal,Premier League,2018-2019,8000000.0
Stuart Armstrong,Central Midfield,26,Celtic,Premiership,Southampton,Premier League,2018-2019,7950000.0
Mikel Merino,Defensive Midfield,22,Bor. Dortmund,1.Bundesliga,Newcastle,Premier League,2018-2019,7000000.0
Ramadan Sobhi,Left Winger,21,Stoke City,Championship,Huddersfield,Premier League,2018-2019,6500000.0
Florin Andone,Centre-Forward,25,Dep. La Coruña,LaLiga2,Brighton,Premier League,2018-2019,6000000.0
Fabri,Goalkeeper,30,Besiktas,Süper Lig,Fulham,Premier League,2018-2019,6000000.0
João Moutinho,Central Midfield,31,Monaco,Ligue 1,Wolves,Premier League,2018-2019,5600000.0
Carlos Eduardo,Right Winger,21,Goiás EC,Série B,Pyramids FC,Premier League,2018-2019,5200000.0
Rodriguinho,Attacking Midfield,30,Corinthians,Série A,Pyramids FC,Premier League,2018-2019,5100000.0
Adam Masina,Left-Back,24,Bologna,Serie A,Watford,Premier League,2018-2019,5000000.0
Florent Hadergjonaj,Right-Back,23,FC Ingolstadt,2.Bundesliga,Huddersfield,Premier League,2018-2019,5000000.0
